Country,Element,Item,Year,Value,Population
United States of America,Food,Vegetable Oils,2013,9651,320051
United States of America,Production,Vegetables,2013,35058,320051
United States of America,Import Quantity,Vegetables,2013,8967,320051
United States of America,Stock Variation,Vegetables,2013,452,320051
United States of America,Export Quantity,Vegetables,2013,5538,320051
United States of America,Domestic supply quantity,Vegetables,2013,38938,320051
United States of America,Feed,Vegetables,2013,193,320051
United States of America,Losses,Vegetables,2013,2278,320051
United States of America,Processing,Vegetables,2013,0,320051
United States of America,Food,Vegetables,2013,36472,320051
United States of America,Production,Fruits - Excluding Wine,2013,28757,320051
United States of America,Import Quantity,Fruits - Excluding Wine,2013,19496,320051
United States of America,Stock Variation,Fruits - Excluding Wine,2013,51,320051
United States of America,Export Quantity,Fruits - Excluding Wine,2013,8135,320051
United States of America,Domestic supply quantity,Fruits - Excluding Wine,2013,40169,320051
United States of America,Losses,Fruits - Excluding Wine,2013,2148,320051
United States of America,Processing,Fruits - Excluding Wine,2013,4596,320051
United States of America,Other uses,Fruits - Excluding Wine,2013,2,320051
United States of America,Food,Fruits - Excluding Wine,2013,33454,320051
United States of America,Production,Stimulants,2013,3,320051
United States of America,Import Quantity,Stimulants,2013,2970,320051
United States of America,Stock Variation,Stimulants,2013,0,320051
United States of America,Export Quantity,Stimulants,2013,596,320051
United States of America,Domestic supply quantity,Stimulants,2013,2378,320051
United States of America,Food,Stimulants,2013,2378,320051
United States of America,Production,Spices,2013,1,320051
United States of America,Import Quantity,Spices,2013,338,320051
United States of America,Stock Variation,Spices,2013,0,320051
United States of America,Export Quantity,Spices,2013,33,320051
United States of America,Domestic supply quantity,Spices,2013,306,320051
United States of America,Food,Spices,2013,306,320051
United States of America,Production,Alcoholic Beverages,2013,27666,320051
United States of America,Import Quantity,Alcoholic Beverages,2013,7136,320051
United States of America,Stock Variation,Alcoholic Beverages,2013,650,320051
United States of America,Export Quantity,Alcoholic Beverages,2013,3723,320051
United States of America,Domestic supply quantity,Alcoholic Beverages,2013,31730,320051
United States of America,Other uses,Alcoholic Beverages,2013,1677,320051
United States of America,Food,Alcoholic Beverages,2013,30053,320051
United States of America,Production,Meat,2013,42689,320051
United States of America,Import Quantity,Meat,2013,1801,320051
United States of America,Stock Variation,Meat,2013,0,320051
United States of America,Export Quantity,Meat,2013,7630,320051
United States of America,Domestic supply quantity,Meat,2013,36860,320051
United States of America,Feed,Meat,2013,49,320051
United States of America,Processing,Meat,2013,24,320051
United States of America,Other uses,Meat,2013,70,320051
United States of America,Food,Meat,2013,36849,320051
United States of America,Production,Offals,2013,1536,320051
United States of America,Import Quantity,Offals,2013,65,320051
United States of America,Stock Variation,Offals,2013,0,320051
United States of America,Export Quantity,Offals,2013,664,320051
United States of America,Domestic supply quantity,Offals,2013,938,320051
United States of America,Feed,Offals,2013,800,320051
United States of America,Other uses,Offals,2013,0,320051
United States of America,Food,Offals,2013,142,320051
United States of America,Production,Animal fats,2013,7513,320051
United States of America,Import Quantity,Animal fats,2013,160,320051
United States of America,Stock Variation,Animal fats,2013,0,320051
United States of America,Export Quantity,Animal fats,2013,1116,320051
United States of America,Domestic supply quantity,Animal fats,2013,6557,320051
United States of America,Feed,Animal fats,2013,1250,320051
United States of America,Losses,Animal fats,2013,109,320051
United States of America,Processing,Animal fats,2013,0,320051
United States of America,Other uses,Animal fats,2013,3499,320051
United States of America,Food,Animal fats,2013,1699,320051
United States of America,Production,Eggs,2013,5777,320051
United States of America,Import Quantity,Eggs,2013,11,320051
United States of America,Stock Variation,Eggs,2013,0,320051
United States of America,Export Quantity,Eggs,2013,269,320051
United States of America,Domestic supply quantity,Eggs,2013,5519,320051
United States of America,Seed,Eggs,2013,758,320051
United States of America,Losses,Eggs,2013,117,320051
United States of America,Food,Eggs,2013,4667,320051
United States of America,Production,Milk - Excluding Butter,2013,91277,320051
United States of America,Import Quantity,Milk - Excluding Butter,2013,5235,320051
United States of America,Stock Variation,Milk - Excluding Butter,2013,2210,320051
United States of America,Export Quantity,Milk - Excluding Butter,2013,10756,320051
United States of America,Domestic supply quantity,Milk - Excluding Butter,2013,87965,320051
United States of America,Feed,Milk - Excluding Butter,2013,481,320051
United States of America,Processing,Milk - Excluding Butter,2013,0,320051
United States of America,Other uses,Milk - Excluding Butter,2013,5972,320051
United States of America,Food,Milk - Excluding Butter,2013,81513,320051
United States of America,Production,"Fish, Seafood",2013,5659,320051
United States of America,Import Quantity,"Fish, Seafood",2013,5033,320051
United States of America,Stock Variation,"Fish, Seafood",2013,0,320051
United States of America,Export Quantity,"Fish, Seafood",2013,2631,320051
United States of America,Domestic supply quantity,"Fish, Seafood",2013,8061,320051
United States of America,Feed,"Fish, Seafood",2013,563,320051
United States of America,Seed,"Fish, Seafood",2013,615,320051
United States of America,Other uses,"Fish, Seafood",2013,0,320051
United States of America,Food,"Fish, Seafood",2013,6883,320051
United States of America,Production,"Aquatic Products, Other",2013,24,320051
United States of America,Import Quantity,"Aquatic Products, Other",2013,59,320051
United States of America,Export Quantity,"Aquatic Products, Other",2013,15,320051
United States of America,Domestic supply quantity,"Aquatic Products, Other",2013,68,320051
United States of America,Other uses,"Aquatic Products, Other",2013,56,320051
United States of America,Food,"Aquatic Products, Other",2013,13,320051
United States of America,Import Quantity,Miscellaneous,2013,2,320051
United States of America,Export Quantity,Miscellaneous,2013,37,320051
United States of America,Domestic supply quantity,Miscellaneous,2013,-35,320051
